[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 3}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'second base case with k'}, {'p': 0.03125}, {'N': 32.0}, {'t': 1024}, {'k': 2}, {'epsilon': 0.05404724258602231}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'second base case with k'}, {'p': 0.03125}, {'N': 32.0}, {'t': 16384}, {'k': 4}, {'epsilon': 0.012977831085499672}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 1}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 5}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.5}, {'N': 2.0}, {'t': 16384}, {'k': 2}, {'epsilon': 0.012606825928967237}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.5}, {'N': 2.0}, {'t': 2048}, {'k': 4}, {'epsilon': 0.036149304724374214}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 2}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 4}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 3}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.25}, {'N': 4.0}, {'t': 2048}, {'k': 2}, {'epsilon': 0.03761033674150725}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.25}, {'N': 4.0}, {'t': 1024}, {'k': 4}, {'epsilon': 0.04972803537685162}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 3}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 2}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 4}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 4}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.125}, {'N': 8.0}, {'t': 32}, {'k': 2}, {'epsilon': 0.27421763710600383}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.125}, {'N': 8.0}, {'t': 1024}, {'k': 4}, {'epsilon': 0.04086421084552281}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 3}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 5}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.0625}, {'N': 16.0}, {'t': 128}, {'k': 2}, {'epsilon': 0.13049447725382865}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.0625}, {'N': 16.0}, {'t': 2048}, {'k': 4}, {'epsilon': 0.035064577744880344}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 2}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 128}, {'epsilon': 0.125}, {'number_of_nodes_steady': 3}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 4}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.03125}, {'N': 32.0}, {'t': 512}, {'k': 2}, {'epsilon': 0.09100388872829487}]
[{'graph name': 'second_family_q=1:i'}, {'type of base case': 'second base case with k'}, {'p': 0.03125}, {'N': 32.0}, {'t': 4096}, {'k': 4}, {'epsilon': 0.020427729146248973}]
